category_code,category_name_en,group_code,group_name_en,type_code,type_name_en,component_code,component_name_en,unit,result_type,sex,age_from_days,age_to_days,age_from_value,age_to_value,age_unit,low_normal,high_normal,normal_range_text,range_note,status
CHEM,Clinical Chemistry,IRON,Iron Studies,FERR1,"Ferritin, Serum",FERR1,"Ferritin, Serum",mcg/L,NUMERIC,M,180,3285,6,9,year,6.0,111.0,6-111 mcg/L,,OK
CHEM,Clinical Chemistry,IRON,Iron Studies,FERR1,"Ferritin, Serum",FERR1,"Ferritin, Serum",mcg/L,NUMERIC,M,3650,6205,10,17,year,15.0,201.0,15-201 mcg/L,,OK
CHEM,Clinical Chemistry,IRON,Iron Studies,FERR1,"Ferritin, Serum",FERR1,"Ferritin, Serum",mcg/L,NUMERIC,M,6570,36500,18,,year,31.0,409.0,31-409 mcg/L,,OK
CHEM,Clinical Chemistry,IRON,Iron Studies,FERR1,"Ferritin, Serum",FERR1,"Ferritin, Serum",mcg/L,NUMERIC,F,0,28,0,4,week,150.0,973.0,150-973 mcg/L,,OK
CHEM,Clinical Chemistry,IRON,Iron Studies,FERR1,"Ferritin, Serum",FERR1,"Ferritin, Serum",mcg/L,NUMERIC,F,35,150,5,5,month,9.0,580.0,9-580 mcg/L,,OK
CHEM,Clinical Chemistry,IRON,Iron Studies,FERR1,"Ferritin, Serum",FERR1,"Ferritin, Serum",mcg/L,NUMERIC,F,180,6205,6,17,year,8.0,115.0,8-115 mcg/L,,OK
CHEM,Clinical Chemistry,IRON,Iron Studies,FERR1,"Ferritin, Serum",FERR1,"Ferritin, Serum",mcg/L,NUMERIC,F,6570,18250,18,50,year,6.0,175.0,6-175 mcg/L,,OK
CHEM,Clinical Chemistry,IRON,Iron Studies,FERR1,"Ferritin, Serum",FERR1,"Ferritin, Serum",mcg/L,NUMERIC,F,18615,36500,51,,year,11.0,328.0,11-328 mcg/L,,OK
CHEM,Clinical Chemistry,IRON,Iron Studies,TRSF,"Transferrin, Serum",TRSF,"Transferrin, Serum",mg/dL,NUMERIC,B,0,36500,,,,200.0,360.0,200-360 mg/dL,,OK
HEMA,Hematology,CBC,Complete Blood Count,HGB,"Hemoglobin, Blood",HGB,"Hemoglobin, Blood",g/dL,NUMERIC,M,0,14,0,14,day,13.9,19.1,13.9-19.1 g/dL,,OK
HEMA,Hematology,CBC,Complete Blood Count,HGB,"Hemoglobin, Blood",HGB,"Hemoglobin, Blood",g/dL,NUMERIC,M,15,28,15,4,week,10.0,15.3,10.0-15.3 g/dL,,OK
HEMA,Hematology,CBC,Complete Blood Count,HGB,"Hemoglobin, Blood",HGB,"Hemoglobin, Blood",g/dL,NUMERIC,M,35,49,5,7,week,8.9,12.7,8.9-12.7 g/dL,,OK
HEMA,Hematology,CBC,Complete Blood Count,HGB,"Hemoglobin, Blood",HGB,"Hemoglobin, Blood",g/dL,NUMERIC,M,56,150,8,5,month,9.6,12.4,9.6-12.4 g/dL,,OK
HEMA,Hematology,CBC,Complete Blood Count,HGB,"Hemoglobin, Blood",HGB,"Hemoglobin, Blood",g/dL,NUMERIC,M,180,690,6,23,month,10.1,12.5,10.1-12.5 g/dL,,OK
HEMA,Hematology,CBC,Complete Blood Count,HGB,"Hemoglobin, Blood",HGB,"Hemoglobin, Blood",g/dL,NUMERIC,M,720,1050,24,35,month,10.2,12.7,10.2-12.7 g/dL,,OK
HEMA,Hematology,CBC,Complete Blood Count,HGB,"Hemoglobin, Blood",HGB,"Hemoglobin, Blood",g/dL,NUMERIC,M,1095,1825,3,5,year,11.4,14.3,11.4-14.3 g/dL,,OK
HEMA,Hematology,CBC,Complete Blood Count,HGB,"Hemoglobin, Blood",HGB,"Hemoglobin, Blood",g/dL,NUMERIC,M,2190,2920,6,8,year,11.5,14.3,11.5-14.3 g/dL,,OK
HEMA,Hematology,CBC,Complete Blood Count,HGB,"Hemoglobin, Blood",HGB,"Hemoglobin, Blood",g/dL,NUMERIC,M,3285,3650,9,10,year,11.8,14.7,11.8-14.7 g/dL,,OK
HEMA,Hematology,CBC,Complete Blood Count,HGB,"Hemoglobin, Blood",HGB,"Hemoglobin, Blood",g/dL,NUMERIC,M,4015,5110,11,14,year,12.4,15.7,12.4-15.7 g/dL,,OK
HEMA,Hematology,CBC,Complete Blood Count,HGB,"Hemoglobin, Blood",HGB,"Hemoglobin, Blood",g/dL,NUMERIC,M,5475,6205,15,17,year,13.3,16.9,13.3-16.9 g/dL,,OK
HEMA,Hematology,CBC,Complete Blood Count,HGB,"Hemoglobin, Blood",HGB,"Hemoglobin, Blood",g/dL,NUMERIC,M,6570,36500,18,,year,13.2,16.6,13.2-16.6 g/dL,,OK
